term,source,definition,langue,auto_definition,definition_finale,valide_auto,definition_finale_corrigée
en el sistema,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,En el sistema refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,En el sistema refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
en francia,abstract,,es,La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia,En francia refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.,oui,En francia refers to La experiencia se llevó a cabo en la enseñanza del inglés y del español como lengua extranjera en el sistema universitario en francia.
en francia el,abstract,,es,,,non,"En francia el es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
en francés,abstract,,fr,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","En francés refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"En francés refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
en francés una,abstract,,fr,,,non,"En francés una est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
en français,abstract,,fr,"Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.","En français refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes.",oui,"En français refers to Les résultats démontrent aussi bien en anglais qu'en français, une tendance aux spécifications sémantiques et aux erreurs de traduction qui ont des répercussions sur le sens macrotextuel des contes."
en français une,abstract,,fr,,,non,"En français une est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement."
en general,abstract,,fr,"Nuestra hipótesis es que una profunda preparación de las actividades y de los recursos pedagógicos y didácticos, conforme a las etapas de aprendizaje en general, ayuda a promover el placer de aprender, independientemente de la lengua que se enseña, del contenido del curso o del nivel de los estudiantes","En general refers to Nuestra hipótesis es que una profunda preparación de las actividades y de los recursos pedagógicos y didácticos, conforme a las etapas de aprendizaje en general, ayuda a promover el placer de aprender, independientemente de la lengua que se enseña, del contenido del curso o del nivel de los estudiantes.",oui,"En general refers to Nuestra hipótesis es que una profunda preparación de las actividades y de los recursos pedagógicos y didácticos, conforme a las etapas de aprendizaje en general, ayuda a promover el placer de aprender, independientemente de la lengua que se enseña, del contenido del curso o del nivel de los estudiantes."
en general ayuda,abstract,,es,,,non,"En general ayuda es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza."
en inglés,abstract,,es,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","En inglés refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"En inglés refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
en inglés como,abstract,,es,"Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos","En inglés como refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos.",oui,"En inglés como refers to Los resultados evidencian, tanto en inglés como en francés, una tendencia a las especificaciones semánticas y a los errores de traducción, que repercuten en el significado macrotextual de los cuentos."
en la,abstract,,es,"En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral","En la refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral.",oui,"En la refers to En tant qu’enseignants de langues étrangères à l’université, nous constatons au quotidien que les apprenants – des futurs spécialistes en langues dans la filière de langues étrangères appliquées (lea) – évitent de parler en cours de langue et expriment des idées négatives concernant leurs capacités à communiquer à l’oral."
