term,source,definition,langue,auto_definition,definition_finale,valide_auto
déterminer quels mouvements,abstract,,fr,"Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental","Déterminer quels mouvements refers to Nous cherchons à décrire les régularités et les différences dans la manière dont des apprenants et des locuteurs natifs d’anglais réalisent la focalisation, dans le but de déterminer quels mouvements tonals sont privilégiés par chaque groupe de locuteurs, et de comprendre la façon dont ils réalisent la focalisation au niveau suprasegmental.",oui
développementales cette,abstract,,fr,,"Développementales cette est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
développementales cette partie,abstract,,fr,,"Développementales cette partie est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
développementales communes,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Développementales communes refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui
développementales communes aux,abstract,,fr,"Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs","Développementales communes aux refers to Les résultats montrent des traces de l’influence de leurs langues maternelles respectives à un niveau phonétique et phonologique, ainsi que des caractéristiques développementales communes aux deux groupes de locuteurs.",oui
easier l1,abstract,,fr,,"Easier l1 est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
easier l1 spanish,abstract,,en,,"Easier l1 spanish is a concept used in the fields of linguistics, translation, or education.",non
efectividad la,abstract,,es,,"Efectividad la es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
efectividad la aplicación,abstract,,es,,"Efectividad la aplicación es un concepto utilizado en los campos de la lingüística, la traducción o la enseñanza.",non
effective corpus,abstract,,en,The architecture supports query apis compatible with r packages and other tools which will facilitate the generation of linguistically enriched datasets for a more effective corpus-based study of language acquisition.,Effective corpus refers to The architecture supports query apis compatible with r packages and other tools which will facilitate the generation of linguistically enriched datasets for a more effective corpus-based study of language acquisition.,oui
effective corpus based,abstract,,en,,"Effective corpus based is a concept used in the fields of linguistics, translation, or education.",non
effectivement mieux,abstract,,fr,Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité,Effectivement mieux refers to Nos prédictions ne sont que partiellement confirmées par les résultats obtenus : les apprenants francophones natifs (dont la l1 présente /s/ et /z/ en qualité de phonèmes en position finale) réussissent effectivement mieux à reproduire les schémas de périodicité.,oui
effectivement mieux reproduire,abstract,,fr,,"Effectivement mieux reproduire est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
effectiveness rigurous,abstract,,fr,,"Effectiveness rigurous est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
effectiveness rigurous method,abstract,,en,,"Effectiveness rigurous method is a concept used in the fields of linguistics, translation, or education.",non
effects regular,abstract,,fr,,"Effects regular est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
effects regular irregular,abstract,,fr,,"Effects regular irregular est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
efficacité système,abstract,,fr,,"Efficacité système est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
efficacité système comparaison,abstract,,fr,,"Efficacité système comparaison est un concept utilisé dans les domaines de la linguistique, de la traduction ou de l'enseignement.",non
el análisis,abstract,,fr,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El análisis refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui
el análisis cuantitativo,abstract,,fr,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El análisis cuantitativo refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui
el aprendizaje,abstract,,es,El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,El aprendizaje refers to El análisis cuantitativo de los datos deja traslucir que existe una relación entre una planificación estricta y el sentimiento de placer de los estudiantes durante el aprendizaje.,oui
el modelo,abstract,,es,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","El modelo refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui
el modelo para,abstract,,es,"Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas","El modelo para refers to Para ello, se sigue el modelo para análisis de traducciones literarias propuesto por van leuven-zwart, con la finalidad de evaluar la efectividad de la aplicación de un sistema de comparación riguroso como éste en textos surrealistas.",oui
